ANO,CODIGO_DEPARTAMENTO,DEPARTAMENTO,POBLACION_5_16,TASA_MATRICULACION_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICION,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICION,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMANO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCION,DESERCION_TRANSICION,DESERCION_PRIMARIA,DESERCION_SECUNDARIA,DESERCION_MEDIA,APROBACION,APROBACION_TRANSICION,APROBACION_PRIMARIA,APROBACION_SECUNDARIA,APROBACION_MEDIA,REPROBACION,REPROBACION_TRANSICION,REPROBACION_PRIMARIA,REPROBACION_SECUNDARIA,REPROBACION_MEDIA,REPITENCIA,REPITENCIA_TRANSICION,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2011,47,magdalena,333793,0.9447,0.9432,0.5539999999999999,0.909,0.6653,0.3754999999999999,1.1051,1.0971,1.2912,1.031,0.7584000000000001,21.3,0.2763,0.0363,0.0224,0.0345,0.0409999999999999,0.0437,0.9498,0.0042,0.9512,0.0409999999999999,0.9355,0.0139,0.0042,0.9512,0.0141,0.0208,0.0152,0.0042,0.0144,0.0199,0.0065
2011,50,meta,209319,0.9365,0.9359,0.6146,0.9235,0.7589,0.4079,1.0282,0.8290000000000001,1.1506,1.0618,0.7526,22.79,0.2442,0.0555,0.0512,0.0558,0.0615,0.038,0.9308,0.0007,0.9339,0.0615,0.939,0.0137,0.0007,0.9339,0.0185,0.023,0.0148,0.0007,0.0127,0.0226,0.009
2011,52,narino,401313,0.8053,0.805,0.483,0.8014,0.5367999999999999,0.2904,0.9396,0.7592,1.1543,0.8715,0.6227,20.76,0.1568,0.1017,0.1391,0.0967,0.1058,0.0901,0.8996999999999999,0.0008,0.912,0.1058,0.8945000000000001,0.0139999999999999,0.0008,0.912,0.0218,0.0255,0.0253,0.0008,0.0233999999999999,0.0352,0.0132
2011,54,norte de santander,324219,0.8904000000000001,0.8896,0.6890000000000001,0.9101,0.6638,0.3903,1.0248,0.8741,1.1744,0.981,0.823,22.36,0.1778,0.0687,0.0498,0.0515,0.0935,0.0843999999999999,0.9255,0.0006,0.9441,0.0935,0.9014,0.0065,0.0006,0.9441,0.0076,0.0163999999999999,0.0219,0.0006,0.017,0.0346,0.0156
2011,63,quindio,114075,0.9087,0.9083,0.6445000000000001,0.8553000000000001,0.8031999999999999,0.4729,1.0395,0.8226,1.0621,1.1489,0.8783,27.06,0.62,0.0504,0.0513,0.0452,0.0598,0.0409999999999999,0.9243,0.0003,0.9424,0.0598,0.9166,0.0253,0.0003,0.9424,0.0397,0.0423,0.0136,0.0003,0.011,0.0203,0.0086
2011,66,risaralda,192633,0.9561,0.9543,0.6738,0.9332,0.7637999999999999,0.4282999999999999,1.1241,0.8913,1.1888,1.1909999999999998,0.9527,22.87,0.4521,0.0479,0.0373,0.0377,0.0613999999999999,0.0538999999999999,0.9407,0.0015,0.9557,0.0613999999999999,0.9125,0.0113999999999999,0.0015,0.9557,0.0124,0.0335,0.0177,0.0015,0.0143,0.0260999999999999,0.0113
2011,68,santander,434034,0.9249,0.924,0.6970000000000001,0.9288,0.7728,0.481,1.0343,0.943,1.114,1.0632,0.8387,22.39,0.2522,0.0368,0.0338,0.0287,0.0475,0.038,0.9425,0.0034,0.9611,0.0475,0.9322,0.0207,0.0034,0.9611,0.0348,0.0298,0.0292,0.0034,0.023,0.0448,0.0159
2011,70,sucre,205779,1.0327,1.032,0.6867,1.0138,0.7615999999999999,0.4046,1.2304000000000002,1.3194,1.3949,1.1848999999999998,0.8826999999999999,24.81,0.5831000000000001,0.0674,0.0951,0.055,0.0725,0.0818,0.8631,0.0092,0.8786,0.0725,0.8492000000000001,0.071,0.0092,0.8786,0.0929,0.0708,0.0046,0.0092,0.0055,0.0044,0.0023
2011,73,tolima,325983,0.888,0.8870999999999999,0.586,0.8648,0.7166,0.4133,1.0345,0.8298000000000001,1.1327,1.0725,0.8159000000000001,22.09,0.2022,0.0461,0.0366,0.0434,0.0541,0.0395,0.9033,0.0023,0.9199,0.0541,0.9037,0.0506,0.0023,0.9199,0.0776999999999999,0.0567999999999999,0.0088,0.0023,0.0081999999999999,0.0121999999999999,0.0046999999999999
2011,76,valle del cauca,906602,0.8851,0.8833,0.5625,0.8683,0.7217,0.4206,1.015,0.9248,1.1137,1.0388,0.787,20.05,0.4150999999999999,0.0424,0.0418,0.0373,0.0501,0.0399,0.9069,0.0058,0.9295,0.0501,0.8964,0.0507,0.0058,0.9295,0.079,0.0637,0.023,0.0058,0.0209,0.0322,0.0109
